cr714__answersid,cr714_basescore,cr714_explanation,cr714_howcalculated,importsequencenumber,cr714_name,cr714_response,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit,cr714_parentid,cr714_questionid
c1e6309e-dead-f111-aaac-70a8a53eb3d2,0,Demo validation justification,,,,No impact,1,0,,,27062006,04d25798-3a42-ee11-bdf5-000d3a8fd327,ac3e0298-dead-f111-aaac-7ced8d1ca135,cba1c26b-9289-f011-b4cc-7c1e527d2157
f9320f9f-dead-f111-aaac-7ced8d1ca135,0,Demo validation justification,,,,No impact,1,0,,,27062004,04d25798-3a42-ee11-bdf5-000d3a8fd327,ac3e0298-dead-f111-aaac-7ced8d1ca135,09e36ed6-9189-f011-b4cc-002248271486
a357b4a1-dead-f111-aaac-0022481fc755,0,Demo validation justification,,,,No impact,1,0,,,27062002,04d25798-3a42-ee11-bdf5-000d3a8fd327,ac3e0298-dead-f111-aaac-7ced8d1ca135,c91de0e9-9189-f011-b4cc-7c1e527d2157
2d725da2-dead-f111-aaac-000d3a8cdfc7,0,Demo validation justification,,,,No impact,1,0,,,27062000,04d25798-3a42-ee11-bdf5-000d3a8fd327,ac3e0298-dead-f111-aaac-7ced8d1ca135,31d4e7e3-9189-f011-b4cc-7c1e527d2157
c7009d9f-dead-f111-aaac-7c1e5215f4b4,0,Demo validation justification,,,,No impact,1,0,,,27061998,04d25798-3a42-ee11-bdf5-000d3a8fd327,ac3e0298-dead-f111-aaac-7ced8d1ca135,124ef45c-9289-f011-b4cc-002248271486
54c3a7a1-dead-f111-aaac-7c1e52fd84c7,0,Demo validation justification,,,,No impact,1,0,,,27061994,04d25798-3a42-ee11-bdf5-000d3a8fd327,ac3e0298-dead-f111-aaac-7ced8d1ca135,23511df6-9189-f011-b4cc-7c1e527d2157
5fc3a7a1-dead-f111-aaac-7c1e52fd84c7,0,Demo validation justification,,,,No impact,1,0,,,27061991,04d25798-3a42-ee11-bdf5-000d3a8fd327,ac3e0298-dead-f111-aaac-7ced8d1ca135,a633db83-9289-f011-b4cc-7c1e527d2157
bee6309e-dead-f111-aaac-70a8a53eb3d2,0,Demo validation justification,,,,No impact,1,0,,,27061988,04d25798-3a42-ee11-bdf5-000d3a8fd327,ac3e0298-dead-f111-aaac-7ced8d1ca135,40a9de76-9289-f011-b4cc-7c1e527cd923
03019d9f-dead-f111-aaac-7c1e5215f4b4,0,Demo validation justification,,,,No impact,1,0,,,27061986,04d25798-3a42-ee11-bdf5-000d3a8fd327,ac3e0298-dead-f111-aaac-7ced8d1ca135,c29afc0a-9289-f011-b4cc-7c1e527d2157
10c3a7a1-dead-f111-aaac-7c1e52fd84c7,0,Demo validation justification,,,,No impact,1,0,,,27061983,04d25798-3a42-ee11-bdf5-000d3a8fd327,ac3e0298-dead-f111-aaac-7ced8d1ca135,6e1c0e50-9289-f011-b4cc-002248271486
2c725da2-dead-f111-aaac-000d3a8cdfc7,0,Demo validation justification,,,,No impact,1,0,,,27061865,04d25798-3a42-ee11-bdf5-000d3a8fd327,ac3e0298-dead-f111-aaac-7ced8d1ca135,740adf46-9289-f011-b4cc-7c1e527cd923
f7320f9f-dead-f111-aaac-7ced8d1ca135,0,Demo validation justification,,,,No impact,1,0,,,27061862,04d25798-3a42-ee11-bdf5-000d3a8fd327,ac3e0298-dead-f111-aaac-7ced8d1ca135,fc7f63d0-9189-f011-b4cc-002248271486
11019d9f-dead-f111-aaac-7c1e5215f4b4,0,Demo validation justification,,,,No impact,1,0,,,27061860,04d25798-3a42-ee11-bdf5-000d3a8fd327,ac3e0298-dead-f111-aaac-7ced8d1ca135,300edd89-9289-f011-b4cc-7c1e527d2157
31c3a7a1-dead-f111-aaac-7c1e52fd84c7,0,Demo validation justification,,,,No impact,1,0,,,27061858,04d25798-3a42-ee11-bdf5-000d3a8fd327,ac3e0298-dead-f111-aaac-7ced8d1ca135,3182c040-9289-f011-b4cc-7c1e527cd923
8761e80f-0fad-f111-aaac-7c1e52fd84c7,15,Engineering will not hit benchmark targets if this is not completed.,N/A,,,Critical Impact,1,0,,,27054474,04d25798-3a42-ee11-bdf5-000d3a8fd327,9d6f22fc-0ead-f111-aaac-7c1e5215f4b4,124ef45c-9289-f011-b4cc-002248271486
5dc8f412-0fad-f111-aaac-7c1e527cdbd8,15,B - financial benefit will be in the form of FTE hours.,Optimizing processes and removing work will require less resources to support the site.,,,Critical Impact,1,0,,,27054472,04d25798-3a42-ee11-bdf5-000d3a8fd327,9d6f22fc-0ead-f111-aaac-7c1e5215f4b4,740adf46-9289-f011-b4cc-7c1e527cd923
e3ba0b16-0fad-f111-aaac-0022481fc755,5,The design and implementation phase of this project will be a variety of complex and simple changes across the Site Engineering Team.  This lands in an area that will be medium complex where the team will run into known technical issues as highlighted by the levers and the team coaches and leaders have experience in the Transformation processes and the SMEs have experience in their technical scopes.,,,,Moderate Impact,1,0,,,27054470,04d25798-3a42-ee11-bdf5-000d3a8fd327,9d6f22fc-0ead-f111-aaac-7c1e5215f4b4,cba1c26b-9289-f011-b4cc-7c1e527d2157
ba951214-0fad-f111-aaac-7c1e5215f4b4,5,"Resources will be utilized across Site Engineering to support the Transformation efforts.  As the first section of work is the diagnostic, it is assumed that there will be 12 weeks of support for this phase.",a change leader at 80% of time (384hrs) and 40 hours per week across the four workstreams being evaluated (480hrs),,,Moderate Impact,1,0,,,27054468,04d25798-3a42-ee11-bdf5-000d3a8fd327,9d6f22fc-0ead-f111-aaac-7c1e5215f4b4,a633db83-9289-f011-b4cc-7c1e527d2157
862fe315-0fad-f111-aaac-7c1e52fd84c7,1,Option C - This will not impact production.,This is an assessment on process improvement and not changing production systems.,,,Low Impact,1,0,,,27054465,04d25798-3a42-ee11-bdf5-000d3a8fd327,9d6f22fc-0ead-f111-aaac-7c1e5215f4b4,40a9de76-9289-f011-b4cc-7c1e527cd923
952fe315-0fad-f111-aaac-7c1e52fd84c7,1,The project will conduct the Transformation steps from diagnostic through Implementation with internal resources.,N/A,,,Low Impact,1,0,,,27054458,04d25798-3a42-ee11-bdf5-000d3a8fd327,9d6f22fc-0ead-f111-aaac-7c1e5215f4b4,300edd89-9289-f011-b4cc-7c1e527d2157
5fc8f412-0fad-f111-aaac-7c1e527cdbd8,0,,,,,No Impact,1,0,,,27052779,04d25798-3a42-ee11-bdf5-000d3a8fd327,9d6f22fc-0ead-f111-aaac-7c1e5215f4b4,c29afc0a-9289-f011-b4cc-7c1e527d2157
56685515-0fad-f111-aaac-000d3a8cdfc7,0,,,,,No Impact,1,0,,,27052778,04d25798-3a42-ee11-bdf5-000d3a8fd327,9d6f22fc-0ead-f111-aaac-7c1e5215f4b4,23511df6-9189-f011-b4cc-7c1e527d2157
4f4c6514-0fad-f111-aaac-000d3a99ae1b,0,,,,,No Impact,1,0,,,27052777,04d25798-3a42-ee11-bdf5-000d3a8fd327,9d6f22fc-0ead-f111-aaac-7c1e5215f4b4,c91de0e9-9189-f011-b4cc-7c1e527d2157
9e951214-0fad-f111-aaac-7c1e5215f4b4,0,,,,,No Impact,1,0,,,27052776,04d25798-3a42-ee11-bdf5-000d3a8fd327,9d6f22fc-0ead-f111-aaac-7c1e5215f4b4,31d4e7e3-9189-f011-b4cc-7c1e527d2157
5cc8f412-0fad-f111-aaac-7c1e527cdbd8,0,,,,,No Impact,1,0,,,27052772,04d25798-3a42-ee11-bdf5-000d3a8fd327,9d6f22fc-0ead-f111-aaac-7c1e5215f4b4,3182c040-9289-f011-b4cc-7c1e527cd923
114c6514-0fad-f111-aaac-000d3a99ae1b,0,,,,,No Impact,1,0,,,27052768,04d25798-3a42-ee11-bdf5-000d3a8fd327,9d6f22fc-0ead-f111-aaac-7c1e5215f4b4,6e1c0e50-9289-f011-b4cc-002248271486
55685515-0fad-f111-aaac-000d3a8cdfc7,0,,,,,No Impact,1,0,,,27052766,04d25798-3a42-ee11-bdf5-000d3a8fd327,9d6f22fc-0ead-f111-aaac-7c1e5215f4b4,09e36ed6-9189-f011-b4cc-002248271486
59ebe70f-0fad-f111-aaac-0022481fc755,0,,,,,No Impact,1,0,,,27052764,04d25798-3a42-ee11-bdf5-000d3a8fd327,9d6f22fc-0ead-f111-aaac-7c1e5215f4b4,fc7f63d0-9189-f011-b4cc-002248271486
f6e4e2e7-77ac-f111-aaac-7c1e52fd84c7,5,Solution does not exist nd need to be built from scratch,,,,Moderate Impact,1,0,,,26990660,04d25798-3a42-ee11-bdf5-000d3a8fd327,b6bf7fc9-5eac-f111-aaac-7c1e527cdbd8,cba1c26b-9289-f011-b4cc-7c1e527d2157
f0e4e2e7-77ac-f111-aaac-7c1e52fd84c7,0,NA,,,,No Impact,1,0,,,26990658,04d25798-3a42-ee11-bdf5-000d3a8fd327,b6bf7fc9-5eac-f111-aaac-7c1e527cdbd8,c91de0e9-9189-f011-b4cc-7c1e527d2157
eee4e2e7-77ac-f111-aaac-7c1e52fd84c7,0,NA,,,,No Impact,1,0,,,26990656,04d25798-3a42-ee11-bdf5-000d3a8fd327,b6bf7fc9-5eac-f111-aaac-7c1e527cdbd8,09e36ed6-9189-f011-b4cc-002248271486
7098e1e7-77ac-f111-aaac-70a8a53eb3d2,0,NA,,,,No Impact,1,0,,,26990654,04d25798-3a42-ee11-bdf5-000d3a8fd327,b6bf7fc9-5eac-f111-aaac-7c1e527cdbd8,31d4e7e3-9189-f011-b4cc-7c1e527d2157
d78ad6e7-77ac-f111-aaac-7c1e5215f4b4,10,Part of MBO Transformation,,,,High Impact,1,0,,,26990652,04d25798-3a42-ee11-bdf5-000d3a8fd327,b6bf7fc9-5eac-f111-aaac-7c1e527cdbd8,124ef45c-9289-f011-b4cc-002248271486
f1e4e2e7-77ac-f111-aaac-7c1e52fd84c7,0,NA,,,,No Impact,1,0,,,26990650,04d25798-3a42-ee11-bdf5-000d3a8fd327,b6bf7fc9-5eac-f111-aaac-7c1e527cdbd8,23511df6-9189-f011-b4cc-7c1e527d2157
f7e4e2e7-77ac-f111-aaac-7c1e52fd84c7,5,"Local resources, but necessary to build utomation solutions",,,,Moderate Impact,1,0,,,26990648,04d25798-3a42-ee11-bdf5-000d3a8fd327,b6bf7fc9-5eac-f111-aaac-7c1e527cdbd8,a633db83-9289-f011-b4cc-7c1e527d2157
98ea31ec-77ac-f111-aaac-000d3a99ae1b,1,NA,,,,Low Impact,1,0,,,26990646,04d25798-3a42-ee11-bdf5-000d3a8fd327,b6bf7fc9-5eac-f111-aaac-7c1e527cdbd8,40a9de76-9289-f011-b4cc-7c1e527cd923
c01535ec-77ac-f111-aaac-7c1e527cdbd8,1,SIngle source of failure for EM trending and Assay Control,,,,Low Impact,1,0,,,26990644,04d25798-3a42-ee11-bdf5-000d3a8fd327,b6bf7fc9-5eac-f111-aaac-7c1e527cdbd8,c29afc0a-9289-f011-b4cc-7c1e527d2157
bdb08ce9-77ac-f111-aaac-0022481fc755,0,NA,,,,No Impact,1,0,,,26990642,04d25798-3a42-ee11-bdf5-000d3a8fd327,b6bf7fc9-5eac-f111-aaac-7c1e527cdbd8,6e1c0e50-9289-f011-b4cc-002248271486
c3b08ce9-77ac-f111-aaac-0022481fc755,10,0.56 OY,,,,High Impact,1,0,,,26990640,04d25798-3a42-ee11-bdf5-000d3a8fd327,b6bf7fc9-5eac-f111-aaac-7c1e527cdbd8,740adf46-9289-f011-b4cc-7c1e527cd923
