id,personId,skillId,skillName,categoryId,categoryName
s4005000-0000-4000-8000-000000005000,4d8f2a1f-0690-f011-b4cc-002248276c98,c7aa233c-1e6e-f011-bec2-7c1e527d2157,Agile Certified Practitioner,s3000001-0000-4000-8000-000000000001,Certifications
s4005001-0000-4000-8000-000000005001,4d8f2a1f-0690-f011-b4cc-002248276c98,66bccebf-4e63-f011-bec2-7c1e527cd923,Certified Scrum Master,s3000001-0000-4000-8000-000000000001,Certifications
s4005002-0000-4000-8000-000000005002,4d8f2a1f-0690-f011-b4cc-002248276c98,835a3ecc-0585-f011-b4cc-7c1e527d2157,Bioreactors,s3000003-0000-4000-8000-000000000003,Engineering & Equipment
s4005003-0000-4000-8000-000000005003,4d8f2a1f-0690-f011-b4cc-002248276c98,957f23c2-0585-f011-b4cc-002248271486,Filter Integrity Testers (FIT),s3000003-0000-4000-8000-000000000003,Engineering & Equipment
s4005004-0000-4000-8000-000000005004,4d8f2a1f-0690-f011-b4cc-002248276c98,ae714dac-5c62-f011-bec2-002248271486,Process System Design,s3000003-0000-4000-8000-000000000003,Engineering & Equipment
s4005005-0000-4000-8000-000000005005,4d8f2a1f-0690-f011-b4cc-002248276c98,dbdb8bac-848d-f011-b4cc-002248271486,Chage Control,s3000005-0000-4000-8000-000000000005,Process & Quality
s4005006-0000-4000-8000-000000005006,4d8f2a1f-0690-f011-b4cc-002248276c98,44fd76b8-c497-f011-b4cb-7c1e527d2157,Lean Manufacturing,s3000005-0000-4000-8000-000000000005,Process & Quality
s4005007-0000-4000-8000-000000005007,4d8f2a1f-0690-f011-b4cc-002248276c98,1fe7a0f6-fa97-f011-b4cc-7c1e527cd923,Preventative Maintenance,s3000005-0000-4000-8000-000000000005,Process & Quality
s4005008-0000-4000-8000-000000005008,4d8f2a1f-0690-f011-b4cc-002248276c98,7fcd24e8-3763-f011-bec2-7c1e527cd923,Program Management,s3000004-0000-4000-8000-000000000004,Project & Program Management
s4005009-0000-4000-8000-000000005009,4d8f2a1f-0690-f011-b4cc-002248276c98,5cf49f0f-d288-f011-b4cc-7c1e527cd923,PowerApps Development,s3000002-0000-4000-8000-000000000002,Software & Systems
s4005010-0000-4000-8000-000000005010,4d8f2a1f-0690-f011-b4cc-002248276c98,29fc262c-cec3-f011-bbd2-000d3a4e7261,Risk Management,s3000004-0000-4000-8000-000000000004,Project & Program Management
s4005011-0000-4000-8000-000000005011,4d8f2a1f-0690-f011-b4cc-002248276c98,514ef0b1-5c62-f011-bec2-7c1e527d2157,Project Management,s3000004-0000-4000-8000-000000000004,Project & Program Management
s4005012-0000-4000-8000-000000005012,4d8f2a1f-0690-f011-b4cc-002248276c98,aa6d17ba-0585-f011-b4cc-7c1e527d2157,Supplier Notification Changes (SNC),s3000005-0000-4000-8000-000000000005,Process & Quality
s4005014-0000-4000-8000-000000005014,p0000255-0000-4000-8000-000000000000,83bccebf-4e63-f011-bec2-7c1e527cd923,PMP,s3000001-0000-4000-8000-000000000001,Certifications
s4005015-0000-4000-8000-000000005015,p0000255-0000-4000-8000-000000000000,66bccebf-4e63-f011-bec2-7c1e527cd923,Certified Scrum Master,s3000001-0000-4000-8000-000000000001,Certifications
s4005016-0000-4000-8000-000000005016,p0000255-0000-4000-8000-000000000000,8bced3b9-4e63-f011-bec2-002248271486,LSS Green Belt,s3000001-0000-4000-8000-000000000001,Certifications
s4005017-0000-4000-8000-000000005017,p0000255-0000-4000-8000-000000000000,29fc262c-cec3-f011-bbd2-000d3a4e7261,Risk Management,s3000004-0000-4000-8000-000000000004,Project & Program Management
s4005018-0000-4000-8000-000000005018,p0000255-0000-4000-8000-000000000000,7fcd24e8-3763-f011-bec2-7c1e527cd923,Program Management,s3000004-0000-4000-8000-000000000004,Project & Program Management
s4005019-0000-4000-8000-000000005019,p0000255-0000-4000-8000-000000000000,18061529-3363-f011-bec2-6045bddb6d09,Portfolio Management,s3000004-0000-4000-8000-000000000004,Project & Program Management
s4005020-0000-4000-8000-000000005020,p0000255-0000-4000-8000-000000000000,514ef0b1-5c62-f011-bec2-7c1e527d2157,Project Management,s3000004-0000-4000-8000-000000000004,Project & Program Management
s4005021-0000-4000-8000-000000005021,p0000255-0000-4000-8000-000000000000,4276ba77-5db3-f011-bbd3-7c1e527d2157,powerapps,s3000002-0000-4000-8000-000000000002,Software & Systems
s4005022-0000-4000-8000-000000005022,p0000255-0000-4000-8000-000000000000,5cf49f0f-d288-f011-b4cc-7c1e527cd923,PowerApps Development,s3000002-0000-4000-8000-000000000002,Software & Systems
s4005023-0000-4000-8000-000000005023,p0000255-0000-4000-8000-000000000000,d74409f5-8c69-f011-bec2-6045bddb6d09,Data Analytics,s3000002-0000-4000-8000-000000000002,Software & Systems
s4005024-0000-4000-8000-000000005024,p0000255-0000-4000-8000-000000000000,s4001027-0000-4000-8000-000000001027,PMI-ACP,s3000001-0000-4000-8000-000000000001,Certifications
s4005025-0000-4000-8000-000000005025,p0000255-0000-4000-8000-000000000000,s4001029-0000-4000-8000-000000001029,PMI-PBA,s3000001-0000-4000-8000-000000000001,Certifications
