id,categoryId,categoryName,name,isActive
29fc262c-cec3-f011-bbd2-000d3a4e7261,s3000004-0000-4000-8000-000000000004,Project & Program Management,Risk Management,true
a97cdcab-cdc3-f011-bbd3-002248271486,s3000002-0000-4000-8000-000000000002,Software & Systems,SAP,true
4276ba77-5db3-f011-bbd3-7c1e527d2157,s3000002-0000-4000-8000-000000000002,Software & Systems,powerapps,true
1fe7a0f6-fa97-f011-b4cc-7c1e527cd923,s3000005-0000-4000-8000-000000000005,Process & Quality,Preventative Maintenance,true
44fd76b8-c497-f011-b4cb-7c1e527d2157,s3000005-0000-4000-8000-000000000005,Process & Quality,Lean Manufacturing,true
dbdb8bac-848d-f011-b4cc-002248271486,s3000005-0000-4000-8000-000000000005,Process & Quality,Chage Control,true
5cf49f0f-d288-f011-b4cc-7c1e527cd923,s3000002-0000-4000-8000-000000000002,Software & Systems,PowerApps Development,true
835a3ecc-0585-f011-b4cc-7c1e527d2157,s3000003-0000-4000-8000-000000000003,Engineering & Equipment,Bioreactors,true
957f23c2-0585-f011-b4cc-002248271486,s3000003-0000-4000-8000-000000000003,Engineering & Equipment,Filter Integrity Testers (FIT),true
aa6d17ba-0585-f011-b4cc-7c1e527d2157,s3000005-0000-4000-8000-000000000005,Process & Quality,Supplier Notification Changes (SNC),true
755ef857-c07e-f011-b4cc-002248271486,s3000005-0000-4000-8000-000000000005,Process & Quality,Problem Solving,true
c7aa233c-1e6e-f011-bec2-7c1e527d2157,s3000001-0000-4000-8000-000000000001,Certifications,Agile Certified Practitioner,false
f1a77a4e-e06b-f011-bec2-6045bddb6d09,s3000005-0000-4000-8000-000000000005,Process & Quality,MSC,true
d74409f5-8c69-f011-bec2-6045bddb6d09,s3000002-0000-4000-8000-000000000002,Software & Systems,Data Analytics,true
59b8ffb1-c568-f011-bec2-7c1e527cd923,s3000005-0000-4000-8000-000000000005,Process & Quality,SaMD,true
83bccebf-4e63-f011-bec2-7c1e527cd923,s3000001-0000-4000-8000-000000000001,Certifications,PMP,true
66bccebf-4e63-f011-bec2-7c1e527cd923,s3000001-0000-4000-8000-000000000001,Certifications,Certified Scrum Master,true
8bced3b9-4e63-f011-bec2-002248271486,s3000001-0000-4000-8000-000000000001,Certifications,LSS Green Belt,true
7f102bf4-3763-f011-bec2-7c1e527cd923,s3000003-0000-4000-8000-000000000003,Engineering & Equipment,Instrument Qualification,true
7fcd24e8-3763-f011-bec2-7c1e527cd923,s3000004-0000-4000-8000-000000000004,Project & Program Management,Program Management,true
18061529-3363-f011-bec2-6045bddb6d09,s3000004-0000-4000-8000-000000000004,Project & Program Management,Portfolio Management,true
514ef0b1-5c62-f011-bec2-7c1e527d2157,s3000004-0000-4000-8000-000000000004,Project & Program Management,Project Management,true
ae714dac-5c62-f011-bec2-002248271486,s3000003-0000-4000-8000-000000000003,Engineering & Equipment,Process System Design,true
208b2f94-5c62-f011-bec2-7c1e527cd923,s3000002-0000-4000-8000-000000000002,Software & Systems,Process Control Systems,true
a75cbf9f-5c62-f011-bec2-002248271486,s3000003-0000-4000-8000-000000000003,Engineering & Equipment,Metrology,true
69cb4da0-5c62-f011-bec2-7c1e527cd923,s3000003-0000-4000-8000-000000000003,Engineering & Equipment,Calibration,true
9221429a-5c62-f011-bec2-7c1e527cd923,s3000002-0000-4000-8000-000000000002,Software & Systems,Building Control Systems,true
s4001027-0000-4000-8000-000000001027,s3000001-0000-4000-8000-000000000001,Certifications,PMI-ACP,true
s4001028-0000-4000-8000-000000001028,s3000001-0000-4000-8000-000000000001,Certifications,PMI-RMP,true
s4001029-0000-4000-8000-000000001029,s3000001-0000-4000-8000-000000000001,Certifications,PMI-PBA,true
s4001030-0000-4000-8000-000000001030,s3000001-0000-4000-8000-000000000001,Certifications,PMI-SP,true
s4001031-0000-4000-8000-000000001031,s3000003-0000-4000-8000-000000000003,Engineering & Equipment,Scale Up,true
