"cr714__locationsid","cr714_abbrevaition","importsequencenumber","cr714_name","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"ac4d42e2-ac7e-f011-b4cc-002248271486","BEL","","Belmont Warehouse","1","0","","","19494785","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"524bf4e9-ac7e-f011-b4cb-6045bddb6d09","LEX","","Lexington Campus","1","0","","","19494783","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"bc1562da-ac7e-f011-b4cc-7c1e527d2157","","","North Reading Warehouse","1","0","","","19494779","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"9f6297c3-ac7e-f011-b4cb-6045bddb6d09","205ABP","","205 Alewife Brook Parkway","1","0","","","19494777","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"75d2f1c2-ac7e-f011-b4cc-002248271486","185ABP","","185 Alewife Brook Parkway","1","0","","","19494776","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"117dfbbb-ac7e-f011-b4cb-6045bddb6d09","125SS","","125 Spring Street","1","0","","","19494775","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"d0c3afba-ac7e-f011-b4cc-7c1e527d2157","500SW","","500 Shire Way","1","0","","","19494773","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"1482c7b5-ac7e-f011-b4cb-6045bddb6d09","400SW","","400 Shire Way","1","0","","","19494771","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"f4e49daf-ac7e-f011-b4cc-002248271486","300SW","","300 Shire Way","1","0","","","19494770","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"a14e9ea9-ac7e-f011-b4cc-002248271486","200SW","","200 Shire Way","1","0","","","19494768","04d25798-3a42-ee11-bdf5-000d3a8fd327"
