"cr714__programsid","cr714_abbreviation","importsequencenumber","cr714_longname","cr714_name","cr714_purpose","statuscode","statecode","cr714_subprogram","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"843d6bcd-024f-f111-bec6-000d3a1ce8d4","TXN","","Patient-Supply: Transformation","Patient-Supply","","1","0","Transformation","","","24402048","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"f0f2799c-b6cf-f011-bbd3-7c1e527cd923","PROC","","Value: Procurement","Value","","1","0","Procurement","","","22373389","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"d0d4e650-71ab-f011-bbd3-002248271486","WOF","","Patient-Quality: Warehouse of the Future","Patient-Supply","","1","0","Warehouse of the Future","","","20707439","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"d9e6436e-0d89-f011-b4cc-7c1e527d2157","DEI","","People: DEI Council","People","","1","0","DEI Council","","","19788558","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"ba1e1c5d-0d89-f011-b4cb-6045bddb6d09","EHS","","Planet and Safety: Environmental, Health and Safety","Planet and Safety","","1","0","Environmental, Health and Safety","","","19788556","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"e2babf5b-0d89-f011-b4cc-7c1e527d2157","SUS","","Planet and Safety: Sustainability","Planet and Safety","","1","0","Sustainability","","","19788554","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"bd1e1c5d-0d89-f011-b4cb-6045bddb6d09","MSCI","","Value: Manufacturing Sciences","Value","","1","0","Manufacturing Sciences","","","19788552","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"40077d6b-0d89-f011-b4cc-7c1e527cd923","AGILE","","Value: AGILE-Operational Excellence","Value","","1","0","AGILE-Operational Excellence","","","19788550","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"e6e6436e-0d89-f011-b4cc-7c1e527d2157","CII","","Value: Continuous Improvement & Innovation","Value","","1","0","Continuous Improvement & Innovation","","","19788548","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"3af02de6-0c89-f011-b4cc-7c1e527d2157","FOF","","Patient-Supply: Factory of the Future","Patient-Supply","","1","0","Factory of the Future","","","19788535","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"30f02de6-0c89-f011-b4cc-7c1e527d2157","EPCCV","","Patient-Supply: Engineering, Procurement, Construction, Commissioning and Verification","Patient-Supply","Implementing changes to Capital Assets needed to support New Products","1","0","Engineering, Procurement, Construction, Commissioning and Verification","","","19788534","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"2ff02de6-0c89-f011-b4cc-7c1e527d2157","NPI","","Patient-Supply: New Product Introduction","Patient-Supply","","1","0","New Product Introduction","","","19788532","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"20fe1fa8-0c89-f011-b4cc-7c1e527d2157","AIMP","","Patient-Supply: Asset Investment Management Program","Patient-Supply","Ensuring that the Assets supporting Production are suitable for use","1","0","Asset Investment Management Program","","","19788530","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"409f40ad-0c89-f011-b4cc-002248271486","OPERIMP","","Patient-Supply: Operational Improvements","Patient-Supply","","1","0","Operational Improvements","","","19788528","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"2b159048-0d89-f011-b4cc-7c1e527d2157","LOF","","Patient-Quality: Lab of the Future","Patient-Quality","","1","0","Lab of the Future","","","19788526","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"d1f87230-0d89-f011-b4cc-7c1e527d2157","OPERQU","","Patient-Quality: Operational Compliance","Patient-Quality","","1","0","Operational Compliance","","","19788524","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"938aaa50-0d89-f011-b4cb-6045bddb6d09","DDT","","Patient-Quality: Site Digital Maturity","Patient-Quality","","1","0","Site Digital Maturity","","","19788522","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"82871844-0d89-f011-b4cc-002248271486","AUTO","","Data, Digital and Technology: Automation","Data, Digital and Technology","","1","0","Automation","","","19788520","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"d8962530-0d89-f011-b4cb-6045bddb6d09","QAL","","Patient-Quality: Quality","Patient-Quality","","1","0","Quality","","","19788518","04d25798-3a42-ee11-bdf5-000d3a8fd327"
