"importsequencenumber","new_name","new_skillsetdescription","new_skillsetsid","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"","Risk Management","","29fc262c-cec3-f011-bbd2-000d3a4e7261","1","0","","","22023276","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","SAP","","a97cdcab-cdc3-f011-bbd3-002248271486","1","0","","","22023260","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","powerapps","","4276ba77-5db3-f011-bbd3-7c1e527d2157","1","0","","","20948818","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Preventative Maintenance","","1fe7a0f6-fa97-f011-b4cc-7c1e527cd923","1","0","","","20149806","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Lean Manufacturing","","44fd76b8-c497-f011-b4cb-7c1e527d2157","1","0","","","20148092","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Chage Control","","dbdb8bac-848d-f011-b4cc-002248271486","1","0","","","19996058","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","PowerApps Development","","5cf49f0f-d288-f011-b4cc-7c1e527cd923","1","0","","","19780660","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Bioreactors","","835a3ecc-0585-f011-b4cc-7c1e527d2157","1","0","","","19643573","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Filter Integrity Testers (FIT)","","957f23c2-0585-f011-b4cc-002248271486","1","0","","","19643571","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Supplier Notification Changes (SNC)","","aa6d17ba-0585-f011-b4cc-7c1e527d2157","1","0","","","19643569","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Problem Solving","","755ef857-c07e-f011-b4cc-002248271486","1","0","","","19495880","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Agile Certified Practitioner","","c7aa233c-1e6e-f011-bec2-7c1e527d2157","1","0","","","19189087","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","MSC","","f1a77a4e-e06b-f011-bec2-6045bddb6d09","1","0","","","19156266","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Data Analytics","","d74409f5-8c69-f011-bec2-6045bddb6d09","1","0","","","19131102","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","SaMD","","59b8ffb1-c568-f011-bec2-7c1e527cd923","1","0","","","19115471","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","PMP","","83bccebf-4e63-f011-bec2-7c1e527cd923","1","0","","","18849390","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Certified Scrum Master","","66bccebf-4e63-f011-bec2-7c1e527cd923","1","0","","","18849388","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","LSS Green Belt","","8bced3b9-4e63-f011-bec2-002248271486","1","0","","","18849386","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Instrument Qualification","","7f102bf4-3763-f011-bec2-7c1e527cd923","1","0","","","18848007","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Program Management","","7fcd24e8-3763-f011-bec2-7c1e527cd923","1","0","","","18848005","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Portfolio Management","","18061529-3363-f011-bec2-6045bddb6d09","1","0","","","18846270","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Project Management","","514ef0b1-5c62-f011-bec2-7c1e527d2157","1","0","","","18837900","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Process System Design","","ae714dac-5c62-f011-bec2-002248271486","1","0","","","18837899","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Process Control Systems","","208b2f94-5c62-f011-bec2-7c1e527cd923","1","0","","","18837898","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Metrology","","a75cbf9f-5c62-f011-bec2-002248271486","1","0","","","18837897","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Calibration","","69cb4da0-5c62-f011-bec2-7c1e527cd923","1","0","","","18837896","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"","Building Control Systems","","9221429a-5c62-f011-bec2-7c1e527cd923","1","0","","","18837895","04d25798-3a42-ee11-bdf5-000d3a8fd327"
